model,issue,variable,year,response_type,gss_col,simulated_value,n_valid,gss_value,accuracy_gap
claude_4_6,abortion,abany,1977,binary,prop_abany,0,5,0.3772819472616633,0.3772819472616633
claude_4_6,abortion,abany,1978,binary,prop_abany,0,5,0.3328840970350404,0.3328840970350404
claude_4_6,abortion,abany,1980,binary,prop_abany,0,5,0.41109530583214793,0.41109530583214793
claude_4_6,abortion,abany,1982,binary,prop_abany,0,5,0.3852272727272727,0.3852272727272727
claude_4_6,abortion,abany,1983,binary,prop_abany,0,5,0.3425742574257426,0.3425742574257426
claude_4_6,abortion,abany,1984,binary,prop_abany,0,5,0.38591549295774646,0.38591549295774646
claude_4_6,abortion,abany,1985,binary,prop_abany,0,5,0.3693450371370696,0.3693450371370696
claude_4_6,abortion,abany,1987,binary,prop_abany,0,5,0.392485549132948,0.392485549132948
claude_4_6,abortion,abany,1988,binary,prop_abany,0,5,0.3611111111111111,0.3611111111111111
claude_4_6,abortion,abany,1989,binary,prop_abany,0,5,0.4034378159757331,0.4034378159757331
claude_4_6,abortion,abany,1990,binary,prop_abany,0,5,0.43443557582668185,0.43443557582668185
claude_4_6,abortion,abany,1991,binary,prop_abany,0,5,0.42586750788643535,0.42586750788643535
claude_4_6,abortion,abany,1993,binary,prop_abany,0,5,0.4534653465346535,0.4534653465346535
claude_4_6,abortion,abany,1994,binary,prop_abany,0,5,0.4627714581178904,0.4627714581178904
claude_4_6,abortion,abany,1996,binary,prop_abany,0,5,0.4497528830313015,0.4497528830313015
claude_4_6,abortion,abany,1998,binary,prop_abany,0,5,0.4094488188976378,0.4094488188976378
claude_4_6,abortion,abany,2000,binary,prop_abany,0,5,0.3987556561085973,0.3987556561085973
claude_4_6,abortion,abany,2002,binary,prop_abany,0,5,0.43,0.43
claude_4_6,abortion,abany,2004,binary,prop_abany,0,5,0.4056271981242673,0.4056271981242673
claude_4_6,abortion,abany,2006,binary,prop_abany,0,5,0.4043321299638989,0.4043321299638989
claude_4_6,abortion,abany,2008,binary,prop_abany,0,5,0.423728813559322,0.423728813559322
claude_4_6,abortion,abany,2010,binary,prop_abany,0,5,0.43658536585365854,0.43658536585365854
claude_4_6,abortion,abany,2012,binary,prop_abany,0,5,0.4439102564102564,0.4439102564102564
claude_4_6,abortion,abany,2014,binary,prop_abany,0,5,0.4513006654567453,0.4513006654567453
claude_4_6,abortion,abany,2016,binary,prop_abany,0,5,0.46243093922651934,0.46243093922651934
claude_4_6,abortion,abany,2018,binary,prop_abany,0,5,0.5013123359580053,0.5013123359580053
claude_4_6,abortion,abany,2021,binary,prop_abany,0,5,0.5640060240963856,0.5640060240963856
claude_4_6,abortion,abany,2022,binary,prop_abany,0,5,0.5889084507042254,0.5889084507042254
claude_4_6,abortion,abany,2024,binary,prop_abany,1,5,0.5985981308411215,0.40140186915887854
claude_4_6,abortion,abdefect,1972,binary,prop_abdefect,1,5,0.7857142857142857,0.2142857142857143
claude_4_6,abortion,abdefect,1973,binary,prop_abdefect,1,5,0.8449453551912568,0.1550546448087432
claude_4_6,abortion,abdefect,1974,binary,prop_abdefect,1,5,0.8513888888888889,0.14861111111111114
claude_4_6,abortion,abdefect,1975,binary,prop_abdefect,1,5,0.8317107093184979,0.1682892906815021
claude_4_6,abortion,abdefect,1976,binary,prop_abdefect,1,5,0.8393960192175703,0.16060398078242966
claude_4_6,abortion,abdefect,1977,binary,prop_abdefect,1,5,0.8547410894418291,0.14525891055817086
claude_4_6,abortion,abdefect,1978,binary,prop_abdefect,1,5,0.8196392785571143,0.18036072144288573
claude_4_6,abortion,abdefect,1980,binary,prop_abdefect,1,5,0.8308668076109936,0.16913319238900637
claude_4_6,abortion,abdefect,1982,binary,prop_abdefect,1,5,0.8214084507042253,0.1785915492957747
claude_4_6,abortion,abdefect,1983,binary,prop_abdefect,1,5,0.7886393659180978,0.2113606340819022
claude_4_6,abortion,abdefect,1984,binary,prop_abdefect,1,5,0.8022519352568613,0.19774806474313866
claude_4_6,abortion,abdefect,1985,binary,prop_abdefect,1,5,0.7853297442799462,0.21467025572005383
claude_4_6,abortion,abdefect,1987,binary,prop_abdefect,1,5,0.7798165137614679,0.22018348623853212
claude_4_6,abortion,abdefect,1988,binary,prop_abdefect,1,5,0.788135593220339,0.211864406779661
claude_4_6,abortion,abdefect,1989,binary,prop_abdefect,1,5,0.8130653266331658,0.18693467336683423
claude_4_6,abortion,abdefect,1990,binary,prop_abdefect,1,5,0.8125,0.1875
claude_4_6,abortion,abdefect,1991,binary,prop_abdefect,1,5,0.8347457627118644,0.1652542372881356
claude_4_6,abortion,abdefect,1993,binary,prop_abdefect,1,5,0.8131655372700871,0.1868344627299129
claude_4_6,abortion,abdefect,1994,binary,prop_abdefect,1,5,0.8229491173416407,0.17705088265835933
claude_4_6,abortion,abdefect,1996,binary,prop_abdefect,1,5,0.8183783783783783,0.18162162162162165
claude_4_6,abortion,abdefect,1998,binary,prop_abdefect,1,5,0.7861111111111111,0.2138888888888889
claude_4_6,abortion,abdefect,2000,binary,prop_abdefect,1,5,0.7874859075535513,0.2125140924464487
claude_4_6,abortion,abdefect,2002,binary,prop_abdefect,1,5,0.7845982142857143,0.2154017857142857
claude_4_6,abortion,abdefect,2004,binary,prop_abdefect,1,5,0.7289719626168224,0.2710280373831776
claude_4_6,abortion,abdefect,2006,binary,prop_abdefect,1,5,0.7421875,0.2578125
claude_4_6,abortion,abdefect,2008,binary,prop_abdefect,1,5,0.7478397486252946,0.25216025137470544
claude_4_6,abortion,abdefect,2010,binary,prop_abdefect,1,5,0.7518367346938776,0.24816326530612243
claude_4_6,abortion,abdefect,2012,binary,prop_abdefect,1,5,0.7459415584415584,0.2540584415584416
claude_4_6,abortion,abdefect,2014,binary,prop_abdefect,1,5,0.7538273116962645,0.2461726883037355
claude_4_6,abortion,abdefect,2016,binary,prop_abdefect,1,5,0.7516666666666667,0.2483333333333333
claude_4_6,abortion,abdefect,2018,binary,prop_abdefect,1,5,0.7744510978043913,0.22554890219560875
claude_4_6,abortion,abdefect,2021,binary,prop_abdefect,1,5,0.7846689895470383,0.21533101045296166
claude_4_6,abortion,abdefect,2022,binary,prop_abdefect,1,5,0.800178412132025,0.199821587867975
claude_4_6,abortion,abdefect,2024,binary,prop_abdefect,1,5,0.8053735255570118,0.1946264744429882
claude_4_6,abortion,abhlth,1972,binary,prop_abhlth,1,5,0.8693957115009746,0.1306042884990254
claude_4_6,abortion,abhlth,1973,binary,prop_abhlth,1,5,0.9227642276422764,0.07723577235772361
claude_4_6,abortion,abhlth,1974,binary,prop_abhlth,1,5,0.9242424242424242,0.0757575757575758
claude_4_6,abortion,abhlth,1975,binary,prop_abhlth,1,5,0.906832298136646,0.09316770186335399
claude_4_6,abortion,abhlth,1976,binary,prop_abhlth,1,5,0.9077868852459016,0.09221311475409844
claude_4_6,abortion,abhlth,1977,binary,prop_abhlth,1,5,0.905241935483871,0.094758064516129
claude_4_6,abortion,abhlth,1978,binary,prop_abhlth,1,5,0.906166219839142,0.09383378016085797
claude_4_6,abortion,abhlth,1980,binary,prop_abhlth,1,5,0.901329601119664,0.09867039888033602
claude_4_6,abortion,abhlth,1982,binary,prop_abhlth,1,5,0.9038888888888889,0.09611111111111115
claude_4_6,abortion,abhlth,1983,binary,prop_abhlth,1,5,0.8973684210526316,0.10263157894736841
claude_4_6,abortion,abhlth,1984,binary,prop_abhlth,1,5,0.8951781970649895,0.10482180293501053
claude_4_6,abortion,abhlth,1985,binary,prop_abhlth,1,5,0.8933601609657947,0.10663983903420526
claude_4_6,abortion,abhlth,1987,binary,prop_abhlth,1,5,0.8791523482245132,0.12084765177548684
claude_4_6,abortion,abhlth,1988,binary,prop_abhlth,1,5,0.8874734607218684,0.11252653927813161
claude_4_6,abortion,abhlth,1989,binary,prop_abhlth,1,5,0.901296111665005,0.098703888334995
claude_4_6,abortion,abhlth,1990,binary,prop_abhlth,1,5,0.9177001127395716,0.08229988726042836
claude_4_6,abortion,abhlth,1991,binary,prop_abhlth,1,5,0.9151832460732984,0.08481675392670163
claude_4_6,abortion,abhlth,1993,binary,prop_abhlth,1,5,0.8978599221789884,0.10214007782101164
claude_4_6,abortion,abhlth,1994,binary,prop_abhlth,1,5,0.90641158221303,0.09358841778697002
claude_4_6,abortion,abhlth,1996,binary,prop_abhlth,1,5,0.9156756756756756,0.08432432432432435
claude_4_6,abortion,abhlth,1998,binary,prop_abhlth,1,5,0.878619153674833,0.12138084632516699
claude_4_6,abortion,abhlth,2000,binary,prop_abhlth,1,5,0.8851540616246498,0.11484593837535018
claude_4_6,abortion,abhlth,2002,binary,prop_abhlth,1,5,0.9156492785793564,0.08435072142064359
claude_4_6,abortion,abhlth,2004,binary,prop_abhlth,1,5,0.8597914252607184,0.1402085747392816
claude_4_6,abortion,abhlth,2006,binary,prop_abhlth,1,5,0.8789610389610389,0.12103896103896106
claude_4_6,abortion,abhlth,2008,binary,prop_abhlth,1,5,0.8918287937743191,0.10817120622568088
claude_4_6,abortion,abhlth,2010,binary,prop_abhlth,1,5,0.8709150326797386,0.12908496732026142
claude_4_6,abortion,abhlth,2012,binary,prop_abhlth,1,5,0.8812042310821806,0.1187957689178194
claude_4_6,abortion,abhlth,2014,binary,prop_abhlth,1,5,0.8816029143897997,0.11839708561020035
claude_4_6,abortion,abhlth,2016,binary,prop_abhlth,1,5,0.8885209713024282,0.11147902869757176
claude_4_6,abortion,abhlth,2018,binary,prop_abhlth,1,5,0.9004614370468029,0.09953856295319707
claude_4_6,abortion,abhlth,2021,binary,prop_abhlth,1,5,0.90146750524109,0.09853249475891002
claude_4_6,abortion,abhlth,2022,binary,prop_abhlth,1,5,0.9299474605954466,0.07005253940455336
claude_4_6,abortion,abhlth,2024,binary,prop_abhlth,1,5,0.9241157556270096,0.07588424437299035
claude_4_6,abortion,abnomore,1972,binary,prop_abnomore,0,5,0.3972513089005236,0.3972513089005236
claude_4_6,abortion,abnomore,1973,binary,prop_abnomore,0,5,0.4769442532690984,0.4769442532690984
claude_4_6,abortion,abnomore,1974,binary,prop_abnomore,0,5,0.46917080085046065,0.46917080085046065
claude_4_6,abortion,abnomore,1975,binary,prop_abnomore,0,5,0.4572230014025246,0.4572230014025246
claude_4_6,abortion,abnomore,1976,binary,prop_abnomore,0,5,0.4616447823082239,0.4616447823082239
claude_4_6,abortion,abnomore,1977,binary,prop_abnomore,0,5,0.46511627906976744,0.46511627906976744
claude_4_6,abortion,abnomore,1978,binary,prop_abnomore,0,5,0.40323668240053945,0.40323668240053945
