model,mean_entropy,pct_zero_entropy,n_cells
claude_4_6,0.016449471788809667,97.83037475345168,507
gpt4o_mini,0.019518106379837485,95.66074950690336,507
deepseek_v31,0.020089194796699378,97.98270893371757,347
deepseek_v3_0324,0.02813601106434626,95.46351084812623,507
gemma4_31b,0.029873381741250166,95.77464788732394,355
jamba_large,0.03213739830886534,95.85798816568047,507
qwen3_next_80b,0.03287415126616504,94.28007889546352,507
gemini_3_flash,0.03449407225404774,94.87179487179486,507
kimi_k26,0.03587331999463241,95.7983193277311,357
llama33_70b,0.03938096632459181,94.47731755424064,507
mistral_large3,0.05605123012104708,92.50493096646942,507
qwen3_235b,0.06167501627861987,89.54635108481263,507
gpt5,0.095037858257813565,85.79881656804734,507
gpt5_mini,0.10230621858499446,85.60157790927022,507
glm_4_6,0.120324856030631,85.37234042553192,376
mistral_small4,0.12584534219549506,83.4862385321101,436
cogito_v21_671b,0.1427167435925671,80.79207920792079,505
llama4_maverick,0.1518010490247061,80.86785009861933,507
grok_4_3,0.1554848138112045,80.27613412228797,507
mistral_nemo,0.15748033650389207,76.13412228796844,507
deepseek_v32,0.18900606518612711,74.16173570019724,507
gpt_oss_120b,0.1961211806625151,73.76725838264299,507
gemini25_lite,0.2037429674379462,71.20315581854044,507
command_r,0.29352155999935087,60.15779092702169,507
llama31_8b,0.3773148673263653,50.887573964497044,507
