model,issue,variable,sd_across_years,is_temporally_constant
claude_4_6,abortion,abany,0.18569533817705186,FALSE
claude_4_6,abortion,abdefect,0,TRUE
claude_4_6,abortion,abhlth,0,TRUE
claude_4_6,abortion,abnomore,0.46419001579793634,FALSE
claude_4_6,abortion,abpoor,0,TRUE
claude_4_6,abortion,abrape,0,TRUE
claude_4_6,abortion,absingle,0.4818635837755166,FALSE
claude_4_6,gender_roles,fechld,0.57628243880528085,FALSE
claude_4_6,gender_roles,fefam,0.3888854382179553,FALSE
claude_4_6,gender_roles,fepol,0.47157284949512585,FALSE
claude_4_6,gender_roles,fepresch,0.5646597025732797,FALSE
claude_4_6,police_violence,polattak,0,TRUE
claude_4_6,police_violence,polescap,0,TRUE
claude_4_6,police_violence,polhitok,0,TRUE
claude_4_6,police_violence,polmurdr,0,TRUE
claude_4_6,suicide,letdie1,0.30513179628713405,FALSE
claude_4_6,suicide,suicide1,0.4574174999174925,FALSE
cogito_v21_671b,abortion,abany,0.3533317455118148,FALSE
cogito_v21_671b,abortion,abdefect,0.057166195047503,FALSE
cogito_v21_671b,abortion,abhlth,0,TRUE
cogito_v21_671b,abortion,abnomore,0.2486505469009737,FALSE
cogito_v21_671b,abortion,abpoor,0.04287464628562719,FALSE
cogito_v21_671b,abortion,abrape,0,TRUE
cogito_v21_671b,abortion,absingle,0.18056983809317603,FALSE
cogito_v21_671b,gender_roles,fechld,0.2715422211473064,FALSE
cogito_v21_671b,gender_roles,fefam,0.548711910432039,FALSE
cogito_v21_671b,gender_roles,fepol,0.42311022950755156,FALSE
cogito_v21_671b,gender_roles,fepresch,0.5124138315684,FALSE
cogito_v21_671b,police_violence,polattak,0.04564354645876383,FALSE
cogito_v21_671b,police_violence,polescap,0.2248747345355617,FALSE
cogito_v21_671b,police_violence,polhitok,0,TRUE
cogito_v21_671b,police_violence,polmurdr,0.4158839391346347,FALSE
cogito_v21_671b,suicide,letdie1,0.3617482872963236,FALSE
cogito_v21_671b,suicide,suicide1,0.39517207474841715,FALSE
command_r,abortion,abany,0.23863321815682279,FALSE
command_r,abortion,abdefect,0.1177628663527773,FALSE
command_r,abortion,abhlth,0,TRUE
command_r,abortion,abnomore,0.10410470527944005,FALSE
command_r,abortion,abpoor,0.08186768159996102,FALSE
command_r,abortion,abrape,0.03429971702850175,FALSE
command_r,abortion,absingle,0.09249945801257602,FALSE
command_r,gender_roles,fechld,0.3370803886401538,FALSE
command_r,gender_roles,fefam,0.48086576511327045,FALSE
command_r,gender_roles,fepol,0,TRUE
command_r,gender_roles,fepresch,0.19781414201873612,FALSE
command_r,police_violence,polattak,0.11121068335350705,FALSE
command_r,police_violence,polescap,0.1795268365940626,FALSE
command_r,police_violence,polhitok,0.12148506364839746,FALSE
command_r,police_violence,polmurdr,0.05074162634049248,FALSE
command_r,suicide,letdie1,0.23846613358315027,FALSE
command_r,suicide,suicide1,0.19215378456610457,FALSE
deepseek_v31,abortion,abany,0.4431489054267791,FALSE
deepseek_v31,abortion,abdefect,0,TRUE
deepseek_v31,abortion,abhlth,0,TRUE
deepseek_v31,abortion,abnomore,0.2672612419124243,FALSE
deepseek_v31,abortion,abpoor,0,TRUE
deepseek_v31,abortion,abrape,0,TRUE
deepseek_v31,abortion,absingle,0.15075567228888181,FALSE
deepseek_v31,gender_roles,fechld,0,TRUE
deepseek_v31,gender_roles,fefam,0.5175491695067657,FALSE
deepseek_v31,gender_roles,fepol,0,TRUE
deepseek_v31,gender_roles,fepresch,0.4216370213557839,FALSE
deepseek_v31,police_violence,polattak,0,TRUE
deepseek_v31,police_violence,polescap,0.4830458915396479,FALSE
deepseek_v31,police_violence,polhitok,0,TRUE
deepseek_v31,police_violence,polmurdr,0.3321055820775357,FALSE
deepseek_v31,suicide,letdie1,0.3059652245186021,FALSE
deepseek_v31,suicide,suicide1,0.3391164991562635,FALSE
deepseek_v32,abortion,abany,0.3005741632047021,FALSE
deepseek_v32,abortion,abdefect,0.07576114073608446,FALSE
deepseek_v32,abortion,abhlth,0,TRUE
deepseek_v32,abortion,abnomore,0.20550034588015356,FALSE
deepseek_v32,abortion,abpoor,0.03429971702850175,FALSE
deepseek_v32,abortion,abrape,0,TRUE
deepseek_v32,abortion,absingle,0.1272568108203967,FALSE
deepseek_v32,gender_roles,fechld,0.11632974123435579,FALSE
deepseek_v32,gender_roles,fefam,0.532834912030228,FALSE
