issue,term,year,gtrends_score,gtrends_normalized
abortion,abortion,2004,25.583333333333332,70.14925373134328
abortion,abortion,2005,20.75,41.29353233830845
abortion,abortion,2006,19.583333333333332,34.32835820895521
abortion,abortion,2007,17.25,20.398009950248753
abortion,abortion,2008,19.416666666666668,33.333333333333336
abortion,abortion,2009,15.75,11.442786069651739
abortion,abortion,2010,14.75,5.472636815920395
abortion,abortion,2011,18,24.87562189054726
abortion,abortion,2012,18.666666666666668,28.855721393034827
abortion,abortion,2013,15.833333333333334,11.940298507462686
abortion,abortion,2014,14,0.995024875621887
abortion,abortion,2015,13.833333333333334,0
abortion,abortion,2016,16.416666666666668,15.422885572139307
abortion,abortion,2017,14.166666666666666,1.990049751243774
abortion,abortion,2018,13.916666666666666,0.49751243781093824
abortion,abortion,2019,21,42.786069651741286
abortion,abortion,2020,14.583333333333334,4.477611940298507
abortion,abortion,2021,14.166666666666666,1.990049751243774
abortion,abortion,2022,30.583333333333332,100
abortion,abortion,2023,15.333333333333334,8.955223880597014
abortion,abortion,2024,20.666666666666668,40.79601990049751
suicide_permissibility,assisted suicide,2004,52.333333333333336,88.02946593001842
suicide_permissibility,assisted suicide,2005,57.75,100
suicide_permissibility,assisted suicide,2006,44.583333333333336,70.902394106814
suicide_permissibility,assisted suicide,2007,31.25,41.43646408839779
suicide_permissibility,assisted suicide,2008,31.833333333333332,42.72559852670349
suicide_permissibility,assisted suicide,2009,31.75,42.5414364640884
suicide_permissibility,assisted suicide,2010,27,32.04419889502763
suicide_permissibility,assisted suicide,2011,23.583333333333332,24.49355432780847
suicide_permissibility,assisted suicide,2012,21.75,20.441988950276244
suicide_permissibility,assisted suicide,2013,19.25,14.917127071823206
suicide_permissibility,assisted suicide,2014,23.333333333333332,23.941068139963164
suicide_permissibility,assisted suicide,2015,25.416666666666668,28.545119705340703
suicide_permissibility,assisted suicide,2016,25.583333333333332,28.913443830570902
suicide_permissibility,assisted suicide,2017,22.416666666666668,21.915285451197057
suicide_permissibility,assisted suicide,2018,19.833333333333332,16.20626151012891
suicide_permissibility,assisted suicide,2019,18.916666666666668,14.180478821362803
suicide_permissibility,assisted suicide,2020,13.416666666666666,2.025782688766113
suicide_permissibility,assisted suicide,2021,12.5,0
suicide_permissibility,assisted suicide,2022,19.416666666666668,15.28545119705341
suicide_permissibility,assisted suicide,2023,19.583333333333332,15.653775322283606
suicide_permissibility,assisted suicide,2024,18.666666666666668,13.627992633517497
police_violence,police brutality,2004,7.916666666666667,24.37810945273632
police_violence,police brutality,2005,6.916666666666667,18.40796019900498
police_violence,police brutality,2006,5.5,9.950248756218905
police_violence,police brutality,2007,5.25,8.457711442786069
police_violence,police brutality,2008,4.583333333333333,4.477611940298505
police_violence,police brutality,2009,4.583333333333333,4.477611940298505
police_violence,police brutality,2010,4.083333333333333,1.4925373134328332
police_violence,police brutality,2011,4.666666666666667,4.975124378109454
police_violence,police brutality,2012,4.166666666666667,1.990049751243782
police_violence,police brutality,2013,4,0.9950248756218897
police_violence,police brutality,2014,9,30.845771144278604
police_violence,police brutality,2015,14.5,63.681592039801
police_violence,police brutality,2016,11.833333333333334,47.76119402985074
police_violence,police brutality,2017,8.416666666666666,27.363184079601982
police_violence,police brutality,2018,8.166666666666666,25.87064676616915
police_violence,police brutality,2019,7.833333333333333,23.88059701492537
police_violence,police brutality,2020,20.583333333333332,100
police_violence,police brutality,2021,5.75,11.44278606965174
police_violence,police brutality,2022,5.166666666666667,7.9601990049751254
police_violence,police brutality,2023,5.25,8.457711442786069
police_violence,police brutality,2024,3.8333333333333335,0
gender_roles,feminism,2004,56.416666666666664,66.36528028933091
gender_roles,feminism,2005,49.25,50.81374321880651
gender_roles,feminism,2006,40.166666666666664,31.103074141048815
gender_roles,feminism,2007,35.416666666666664,20.795660036166357
gender_roles,feminism,2008,34.083333333333336,17.902350813743222
gender_roles,feminism,2009,33.583333333333336,16.817359855334544
gender_roles,feminism,2010,31.083333333333332,11.392405063291138
gender_roles,feminism,2011,30.833333333333332,10.849909584086797
gender_roles,feminism,2012,31.25,11.754068716094032
gender_roles,feminism,2013,39.25,29.113924050632907
gender_roles,feminism,2014,62.916666666666664,80.47016274864373
gender_roles,feminism,2015,71.91666666666667,100
gender_roles,feminism,2016,66.91666666666667,89.15009041591321
gender_roles,feminism,2017,66.25,87.70343580470163
gender_roles,feminism,2018,51.5,55.696202531645554
gender_roles,feminism,2019,39.166666666666664,28.933092224231455
gender_roles,feminism,2020,33.666666666666664,16.99819168173598
gender_roles,feminism,2021,26.916666666666668,2.350813743218811
gender_roles,feminism,2022,32.666666666666664,14.82820976491862
gender_roles,feminism,2023,28.833333333333332,6.509945750452078
gender_roles,feminism,2024,25.833333333333332,0
