year,prop_abdefect,prop_abnomore,prop_abhlth,prop_abpoor,prop_abrape,prop_absingle,prop_abany,prop_letdie1,prop_suicide1,prop_polhitok,prop_polmurdr,prop_polescap,prop_polattak,prop_fepol_num,prop_grass_num,prop_cappun_num,mean_homosex_num,mean_fefam_num,mean_fechld_num,mean_fepresch_num
1972,0.7857142857142857,0.39725130890052357,0.8693957115009746,0.4877239548772396,0.791005291005291,0.43541944074567246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,0.8449453551912568,0.4769442532690984,0.9227642276422764,0.5343406593406593,0.8352860096485183,0.4910344827586207,NA,NA,NA,0.7426820966643976,0.08491418247515808,0.8811252268602541,0.9696157283288651,NA,NA,NA,1.5589273112208892,NA,NA,NA
1974,0.8513888888888889,0.46917080085046065,0.9242424242424242,0.547635850388144,0.8647887323943662,0.5007042253521127,NA,NA,NA,NA,NA,NA,NA,0.4699140401146132,NA,0.6645299145299145,1.6201322556943425,NA,NA,NA
1975,0.8317107093184979,0.45722300140252453,0.906832298136646,0.5317796610169492,0.8368495077355836,0.4823196605374823,NA,NA,NA,0.7589599437807449,0.07706093189964158,0.888283378746594,0.9849955869373345,0.49685094471658503,NA,0.6442516268980477,NA,NA,NA,NA
1976,0.8393960192175703,0.4616447823082239,0.9077868852459017,0.5306834030683403,0.8368055555555556,0.5027816411682893,NA,NA,NA,0.7913769123783032,0.07781569965870307,0.8096234309623431,0.9481481481481482,NA,NA,0.6872370266479664,1.6963534361851333,NA,NA,NA
1977,0.8547410894418291,0.46511627906976744,0.905241935483871,0.5338294993234101,0.8379850238257318,0.4976010966415353,0.3772819472616633,0.6242257398485891,0.391864406779661,NA,NA,NA,NA,0.4931224209078404,NA,0.7182009838369642,1.653819683413627,2.22022621423819,2.528239202657807,2.164886515353805
1978,0.8196392785571143,0.40323668240053945,0.9061662198391421,0.47379169503063306,0.8318703578663066,0.41140529531568226,0.3328840970350404,0.600951733514616,0.39649359406608226,0.7911864406779661,0.0831081081081081,0.7750677506775068,0.9366336633663367,0.4380108991825613,NA,0.704088704088704,NA,NA,NA,NA
1980,0.8308668076109936,0.47121535181236673,0.9013296011196641,0.5170454545454546,0.8341601700921333,0.4843304843304843,0.41109530583214793,NA,NA,0.7514164305949008,0.08531468531468532,0.7905646890636169,0.9543568464730291,NA,NA,0.7157434402332361,1.619899785254116,NA,NA,NA
1982,0.8214084507042253,0.45830969937606353,0.9038888888888889,0.4895657078398195,0.8389830508474576,0.4552154195011338,0.38522727272727275,0.5819625638116847,0.4264705882352941,NA,NA,NA,NA,0.375,NA,0.7271157167530224,1.5866741953698476,NA,NA,NA
1983,0.7886393659180978,0.3894736842105263,0.8973684210526316,0.4366290643662906,0.8284574468085106,0.39383791024782316,0.3425742574257426,0.6594488188976378,0.49673202614379086,0.7981770833333334,0.09253350350989151,0.7816166883963495,0.9282994923857868,0.35583224115334205,NA,0.767564018384767,NA,NA,NA,NA
1984,0.8022519352568613,0.4267605633802817,0.8951781970649895,0.4625176803394625,0.8036984352773826,0.4422535211267606,0.38591549295774646,NA,NA,0.7102869139258222,0.09020979020979021,0.7567567567567568,0.9350828729281768,NA,NA,0.7478197674418605,1.6274787535410764,NA,NA,NA
1985,0.7853297442799462,0.4032258064516129,0.8933601609657947,0.4368279569892473,0.8120759837177748,0.41184387617765816,0.36934503713706957,0.6554734721289456,0.4560810810810811,NA,NA,NA,NA,0.3860845839017735,NA,0.7953135768435562,1.5902964959568733,2.5499334221038614,2.282608695652174,2.42761841227485
1986,NA,NA,NA,NA,NA,NA,NA,0.6829440905874027,0.5338028169014084,0.7393767705382436,0.08782849239280774,0.7464589235127479,0.9475862068965517,0.37385159010600705,NA,0.7525179856115108,NA,2.5554016620498614,2.2321917808219176,2.4715672676837723
