issue,term,year,total_hits,nyt_normalized
abortion,abortion,1972,602,7.643312101910828
abortion,abortion,1973,426,0.6369426751592357
abortion,abortion,1974,470,2.388535031847134
abortion,abortion,1975,413,0.11942675159235669
abortion,abortion,1976,765,14.132165605095542
abortion,abortion,1977,539,5.135350318471338
abortion,abortion,1978,471,2.428343949044586
abortion,abortion,1979,515,4.179936305732483
abortion,abortion,1980,420,0.3980891719745223
abortion,abortion,1981,669,10.310509554140127
abortion,abortion,1982,621,8.39968152866242
abortion,abortion,1983,410,0
abortion,abortion,1984,900,19.506369426751593
abortion,abortion,1985,620,8.359872611464967
abortion,abortion,1986,621,8.39968152866242
abortion,abortion,1987,628,8.678343949044585
abortion,abortion,1988,671,10.390127388535033
abortion,abortion,1989,1124,28.423566878980893
abortion,abortion,1990,1153,29.578025477707005
abortion,abortion,1991,931,20.74044585987261
abortion,abortion,1992,1540,44.98407643312102
abortion,abortion,1993,1045,25.278662420382165
abortion,abortion,1994,1074,26.43312101910828
abortion,abortion,1995,1013,24.004777070063692
abortion,abortion,1996,1316,36.06687898089172
abortion,abortion,1997,799,15.485668789808917
abortion,abortion,1998,1109,27.826433121019107
abortion,abortion,1999,784,14.888535031847134
abortion,abortion,2000,1491,43.03343949044586
abortion,abortion,2001,1021,24.323248407643312
abortion,abortion,2002,774,14.490445859872612
abortion,abortion,2003,763,14.052547770700638
abortion,abortion,2004,1142,29.14012738853503
abortion,abortion,2005,1464,41.95859872611465
abortion,abortion,2006,1745,53.14490445859873
abortion,abortion,2007,1280,34.63375796178344
abortion,abortion,2008,1347,37.30095541401274
abortion,abortion,2009,1139,29.020700636942674
abortion,abortion,2010,801,15.565286624203821
abortion,abortion,2011,710,11.94267515923567
abortion,abortion,2012,1183,30.772292993630572
abortion,abortion,2013,757,13.813694267515924
abortion,abortion,2014,751,13.574840764331212
abortion,abortion,2015,809,15.88375796178344
abortion,abortion,2016,914,20.063694267515924
abortion,abortion,2017,741,13.17675159235669
abortion,abortion,2018,999,23.447452229299362
abortion,abortion,2019,1122,28.343949044585987
abortion,abortion,2020,1207,31.727707006369428
abortion,abortion,2021,1063,25.995222929936308
abortion,abortion,2022,2922,100
abortion,abortion,2023,1851,57.36464968152867
abortion,abortion,2024,2763,93.67038216560509
police_violence,police brutality,1972,98,2.830856334041047
police_violence,police brutality,1973,101,3.043170559094126
police_violence,police brutality,1974,103,3.1847133757961785
police_violence,police brutality,1975,96,2.689313517338995
police_violence,police brutality,1976,68,0.7077140835102618
police_violence,police brutality,1977,119,4.3170559094125975
police_violence,police brutality,1978,111,3.750884642604388
police_violence,police brutality,1979,156,6.935598018400565
police_violence,police brutality,1980,84,1.840056617126681
police_violence,police brutality,1981,104,3.255484784147204
police_violence,police brutality,1982,58,0
police_violence,police brutality,1983,152,6.652512384996462
police_violence,police brutality,1984,90,2.264685067232838
police_violence,police brutality,1985,173,8.138711960368012
police_violence,police brutality,1986,110,3.680113234253362
police_violence,police brutality,1987,141,5.874026893135174
police_violence,police brutality,1988,146,6.227883934890304
police_violence,police brutality,1989,193,9.554140127388536
police_violence,police brutality,1990,131,5.166312809624912
police_violence,police brutality,1991,235,12.526539278131635
police_violence,police brutality,1992,243,13.092710544939845
police_violence,police brutality,1993,168,7.784854918612881
police_violence,police brutality,1994,150,6.510969568294408
police_violence,police brutality,1995,212,10.898796886058031
police_violence,police brutality,1996,160,7.218683651804671
police_violence,police brutality,1997,376,22.505307855626327
police_violence,police brutality,1998,251,13.658881811748053
police_violence,police brutality,1999,358,21.231422505307858
police_violence,police brutality,2000,257,14.08351026185421
police_violence,police brutality,2001,215,11.11111111111111
police_violence,police brutality,2002,139,5.7324840764331215
police_violence,police brutality,2003,134,5.37862703467799
police_violence,police brutality,2004,125,4.7416843595187546
police_violence,police brutality,2005,146,6.227883934890304
police_violence,police brutality,2006,265,14.64968152866242
police_violence,police brutality,2007,209,10.686482661004954
police_violence,police brutality,2008,187,9.129511677282377
police_violence,police brutality,2009,150,6.510969568294408
