effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),0.30282123099839736,0.03574103100975958,8.472649569502005,16.846071887207714,1.7741160934271396e-7
fixed,NA,dist_c,-4.3024278216859444e-4,1.2944536700604172e-4,-3.323740293837734,11966.622462939655,8.908551430144696e-4
fixed,NA,sal_c,2.050620848920304e-4,9.956569880057312e-5,2.059565566880248,11975.993742109571,0.03946165590700304
fixed,NA,gss_mode_regimeweb_2021,-0.008733169303872983,0.006736298101421823,-1.2964345063692597,11962.370386900378,0.1948508389917773
fixed,NA,gss_mode_regimemultimode_bridge,0.008910829828987903,0.006116164692529046,1.4569309815794476,11962.448217826079,0.14516168033685653
fixed,NA,wording_change_flag,-0.1007753849940817,0.008622493067884028,-11.687499682596105,11955.913079970109,2.187338752442699e-31
fixed,NA,dist_c:sal_c,5.2179445525457946e-5,4.42388474865999e-6,11.794937818229393,11965.978087403564,6.227266586264096e-32
ran_pars,model,sd__(Intercept),0.028208162451966133,NA,NA,NA,NA
ran_pars,variable,sd__(Intercept),0.14535727051124306,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,0.1273225642691012,NA,NA,NA,NA
