Coef,beta,SE,null_value,tstat,df_Satt,p_Satt
(Intercept),0.44177850222668547,0.006431003285875447,0,68.69511374639993,25.392042594036802,2.2781332801902284e-30
dist_c,-4.302740253891884e-4,2.157015676017783e-4,0,-1.994765407470507,10.067913349461831,0.07383853028609606
sal_c,2.0839424751927391e-4,2.398230782254696e-4,0,0.8689499320134325,11.42345084993004,0.40276240989580714
gss_mode_regimeweb_2021,-0.008719440479723208,0.004469017390857568,0,-1.9510867193224366,6.6553838259088804,0.09416215685823019
gss_mode_regimemultimode_bridge,0.008901846277956614,0.010249949283616307,0,0.8684771047780184,2.7330496810779232,0.45465694013843616
wording_change_flag,-0.10138638971820794,0.012589616677833685,0,-8.053175272343054,14.158435440317211,1.1750288355522558e-6
factor(model)cogito_v21_671b,0.005876635413000741,0.006608344110745271,0,0.8892750308576153,26.630914414509114,0.3818181040204627
factor(model)command_r,0.003527130125957205,0.004814313541799994,0,0.7326340703265596,26.56333003441323,0.47019755532236673
factor(model)deepseek_v3_0324,0.03066088756071767,0.004278143843752173,0,7.166866912503425,26.563330034410107,1.1500698766069581e-7
factor(model)deepseek_v31,0.005310560376314651,0.00629055779047186,0,0.8442113645881156,25.837178216228835,0.40630039832979714
factor(model)deepseek_v32,-0.033978633121006796,0.004522291982168308,0,-7.51358675091895,26.563330034425142,4.893695679271643e-8
factor(model)gemini_3_flash,-0.019012854051832225,0.0034331100677696645,0,-5.538084616140493,26.563330034417035,7.605502929977871e-6
factor(model)gemini25_lite,-0.003617457386448624,0.006596840268291963,0,-0.5483621308577246,26.563330034407123,0.5880227610725386
factor(model)gemma4_31b,-0.006625328339583505,0.00508930113570321,0,-1.3018149570880237,26.078692678718095,0.20436200900717497
factor(model)glm_4_6,-0.014155336780465497,0.006675446481322088,0,-2.120507867162467,26.448378811447544,0.04349521110453938
factor(model)gpt_oss_120b,0.04455234683093825,0.010030867588454317,0,4.441524767231369,26.563330034415337,1.408197468158585e-4
factor(model)gpt4o_mini,0.06388136927852606,0.005241537301341017,0,12.187525454065236,26.5633300344152,2.1930853590516044e-12
factor(model)gpt5,-0.005735252408382244,0.004933224356182227,0,-1.1625768451408318,26.563330034415262,0.25533987762179877
factor(model)gpt5_mini,0.027393477038718313,0.004322848137360405,0,6.336904783207391,26.563330034415593,9.421206114779766e-7
factor(model)grok_4_3,-0.034777144490979454,0.00621115511499485,0,-5.599142807916864,26.56333003441512,6.472217434309664e-6
factor(model)jamba_large,0.0019848093910931294,0.005643638405404273,0,0.35168968110935356,26.5633300344129,0.7278455760160325
factor(model)kimi_k26,-0.018767560822057005,0.003927617856222863,0,-4.778357138875398,26.103213615593237,5.977227571409037e-5
factor(model)llama31_8b,0.0026698485765755727,0.008896446117423204,0,0.30010282098453,26.56333003441557,0.7664347517009971
factor(model)llama33_70b,0.04902421276229974,0.004906320939971577,0,9.992051755705926,26.563330034415582,1.7175831318304536e-10
factor(model)llama4_maverick,-0.007416488655309852,0.004905189498461794,0,-1.5119678164596027,26.563330034415603,0.14234891953031506
factor(model)mistral_large3,0.022001881932847106,0.004363676061962,0,5.042052072709219,26.56333003441489,2.840418719043322e-5
factor(model)mistral_nemo,0.07062479343097852,0.007130704142257891,0,9.904322493544885,26.56333003441511,2.069500650482111e-10
factor(model)mistral_small4,0.01281891331841239,0.006852703198703982,0,1.8706360025685582,26.682629159933654,0.07240216785657914
factor(model)qwen3_235b,0.044153435906488125,0.004480482186701281,0,9.854616995809492,26.563330034415642,2.3010051019730438e-10
factor(model)qwen3_next_80b,0.0425763633095729,0.006514893681612736,0,6.535235322371875,26.563330034415632,5.660179331067284e-7
factor(variable)abdefect,-0.24059360741820784,0.005919523657782241,0,-40.644082417325215,25.920024126444254,5.271394231463564e-25
factor(variable)abhlth,-0.33673198357690065,0.00618757319554379,0,-54.420686905071385,25.83449304201715,3.4979713851695305e-28
factor(variable)abnomore,0.048455552881943746,0.006816375542575141,0,7.1086976618717594,25.82896472892837,1.5627006699859045e-7
factor(variable)abpoor,0.0444346336522064,0.007434233483049473,0,5.9770296095112165,25.909113355508367,2.649080862393476e-6
factor(variable)abrape,-0.25676705932439614,0.005684794435744429,0,-45.167342852349286,25.795982828264883,4.3899922853353865e-26
factor(variable)absingle,0.04455404768499728,0.007290861365243641,0,6.110944297664396,26.002024161593212,1.8499303740275586e-6
factor(variable)fechld,-0.29048379802152874,0.010902275517165664,0,-26.644327375891496,19.430481134947442,9.146086799746672e-17
factor(variable)fefam,-0.2823449123282672,0.0076740428497821134,0,-36.792199086597975,19.451748201323735,1.879264993312887e-19
factor(variable)fepol,-0.15199214657751683,0.022057207167686055,0,-6.890815569805513,22.709159445797418,5.384062332821705e-7
factor(variable)fepresch,-0.3002969348703126,0.008247943982540112,0,-36.408702036047345,19.461537154804926,2.2609032929245537e-19
factor(variable)letdie1,-0.05417054321205475,0.011327734580641981,0,-4.782116214536581,13.815105650392447,3.030488819016376e-4
factor(variable)polattak,-0.31225200181860263,0.010049206561936459,0,-31.072304056454023,24.963337963737363,1.7854156423101546e-21
factor(variable)polescap,-0.02071381724485903,0.013415985871207669,0,-1.5439653443071517,24.50240460031616,0.1354151616430464
factor(variable)polhitok,-0.1538074233696782,0.009317465039355223,0,-16.50743230267294,25.0373074544475,5.741762045083314e-15
factor(variable)polmurdr,-0.27705044815188457,0.014897858888740637,0,-18.59666212580864,24.205742767351403,7.677409429653263e-16
factor(variable)suicide1,-0.014809019693624513,0.00959457960068214,0,-1.5434777040748764,13.604967668606298,0.14565060639627303
dist_c:sal_c,5.22497547864084e-5,8.601933786812433e-6,0,6.074187046930324,14.186459127063983,2.70727569374987e-5
