excluded_model,interaction_coef,interaction_p
claude_4_6,5.284949059245937e-5,1.3437351419885e-28
cogito_v21_671b,5.390119214964709e-5,3.5912708573191114e-31
command_r,5.45307995915055e-5,4.8332886044632195e-31
deepseek_v31,5.299265273184164e-5,2.62271287724585e-29
deepseek_v32,5.270208078126835e-5,7.695868904802558e-29
deepseek_v3_0324,5.2817505389835016e-5,1.3142184150561882e-28
gemini25_lite,5.1855374796509574e-5,7.19296414063305e-29
gemini_3_flash,5.301362245285746e-5,9.022530735425482e-29
gemma4_31b,5.3310627157283533e-05,1.6191593644683028e-29
glm_4_6,5.638881266356449e-5,8.31523892380858e-34
gpt4o_mini,5.2388291229098766e-5,1.1777167505904336e-28
gpt5,5.4558552837413796e-5,1.4696563097336195e-30
gpt5_mini,5.3432133256447034e-5,1.857193733057291e-29
gpt_oss_120b,5.0676089620556846e-5,4.631016716681264e-28
grok_4_3,5.2893722382963265e-5,5.17737522291918e-29
jamba_large,5.2983660386595184e-5,1.1683948664704221e-28
kimi_k26,5.3336595417368864e-5,1.1460307231114995e-29
llama31_8b,5.613336695129303e-5,3.0867123264597554e-33
llama33_70b,5.591346258664538e-5,3.84880936220639e-32
llama4_maverick,5.3323242852298924e-5,6.703571423341324e-30
mistral_large3,5.056869016155096e-5,1.1880845185556433e-26
mistral_nemo,5.4328433051198524e-5,2.8888690702443714e-32
mistral_small4,5.303428936083345e-5,6.389992993221262e-30
qwen3_235b,5.522916930865768e-5,3.1934609305026698e-31
qwen3_next_80b,5.592687572117217e-5,5.455691132473569e-32
