issue,term,year,total_hits,nyt_normalized,gtrends_normalized
abortion,abortion,1972,602,7.643312101910828,NA
abortion,abortion,1973,426,0.6369426751592357,NA
abortion,abortion,1974,470,2.388535031847134,NA
abortion,abortion,1975,413,0.11942675159235669,NA
abortion,abortion,1976,765,14.132165605095542,NA
abortion,abortion,1977,539,5.135350318471338,NA
abortion,abortion,1978,471,2.428343949044586,NA
abortion,abortion,1979,515,4.179936305732483,NA
abortion,abortion,1980,420,0.3980891719745223,NA
abortion,abortion,1981,669,10.310509554140127,NA
abortion,abortion,1982,621,8.39968152866242,NA
abortion,abortion,1983,410,0,NA
abortion,abortion,1984,900,19.506369426751593,NA
abortion,abortion,1985,620,8.359872611464967,NA
abortion,abortion,1986,621,8.39968152866242,NA
abortion,abortion,1987,628,8.678343949044585,NA
abortion,abortion,1988,671,10.390127388535033,NA
abortion,abortion,1989,1124,28.423566878980893,NA
abortion,abortion,1990,1153,29.578025477707005,NA
abortion,abortion,1991,931,20.74044585987261,NA
abortion,abortion,1992,1540,44.98407643312102,NA
abortion,abortion,1993,1045,25.278662420382165,NA
abortion,abortion,1994,1074,26.43312101910828,NA
abortion,abortion,1995,1013,24.004777070063692,NA
abortion,abortion,1996,1316,36.06687898089172,NA
abortion,abortion,1997,799,15.485668789808917,NA
abortion,abortion,1998,1109,27.826433121019107,NA
abortion,abortion,1999,784,14.888535031847134,NA
abortion,abortion,2000,1491,43.03343949044586,NA
abortion,abortion,2001,1021,24.323248407643312,NA
abortion,abortion,2002,774,14.490445859872612,NA
abortion,abortion,2003,763,14.052547770700638,NA
abortion,abortion,2004,1142,29.14012738853503,70.14925373134328
abortion,abortion,2005,1464,41.95859872611465,41.29353233830845
abortion,abortion,2006,1745,53.14490445859873,34.32835820895521
abortion,abortion,2007,1280,34.63375796178344,20.398009950248753
abortion,abortion,2008,1347,37.30095541401274,33.333333333333336
abortion,abortion,2009,1139,29.020700636942674,11.44278606965174
abortion,abortion,2010,801,15.565286624203821,5.472636815920395
abortion,abortion,2011,710,11.94267515923567,24.87562189054726
abortion,abortion,2012,1183,30.772292993630572,28.855721393034827
abortion,abortion,2013,757,13.813694267515924,11.940298507462686
abortion,abortion,2014,751,13.574840764331212,0.995024875621887
abortion,abortion,2015,809,15.88375796178344,0
abortion,abortion,2016,914,20.063694267515924,15.422885572139307
abortion,abortion,2017,741,13.17675159235669,1.990049751243774
abortion,abortion,2018,999,23.447452229299362,0.49751243781093824
abortion,abortion,2019,1122,28.343949044585987,42.786069651741286
abortion,abortion,2020,1207,31.727707006369428,4.477611940298507
abortion,abortion,2021,1063,25.995222929936308,1.990049751243774
abortion,abortion,2022,2922,100,100
abortion,abortion,2023,1851,57.36464968152867,8.955223880597014
abortion,abortion,2024,2763,93.67038216560509,40.79601990049751
gender_roles,feminism,1972,35,0,NA
gender_roles,feminism,1973,49,4.444444444444445,NA
gender_roles,feminism,1974,93,18.412698412698415,NA
gender_roles,feminism,1975,107,22.857142857142858,NA
gender_roles,feminism,1976,80,14.285714285714285,NA
gender_roles,feminism,1977,99,20.317460317460316,NA
gender_roles,feminism,1978,112,24.444444444444443,NA
gender_roles,feminism,1979,102,21.26984126984127,NA
gender_roles,feminism,1980,50,4.761904761904762,NA
gender_roles,feminism,1981,134,31.428571428571427,NA
gender_roles,feminism,1982,101,20.952380952380953,NA
gender_roles,feminism,1983,103,21.58730158730159,NA
gender_roles,feminism,1984,126,28.888888888888886,NA
gender_roles,feminism,1985,95,19.047619047619047,NA
gender_roles,feminism,1986,153,37.46031746031746,NA
gender_roles,feminism,1987,124,28.253968253968253,NA
gender_roles,feminism,1988,135,31.746031746031743,NA
gender_roles,feminism,1989,125,28.57142857142857,NA
gender_roles,feminism,1990,152,37.142857142857146,NA
gender_roles,feminism,1991,144,34.6031746031746,NA
gender_roles,feminism,1992,223,59.682539682539684,NA
gender_roles,feminism,1993,166,41.58730158730159,NA
gender_roles,feminism,1994,187,48.25396825396825,NA
gender_roles,feminism,1995,147,35.55555555555556,NA
gender_roles,feminism,1996,134,31.428571428571427,NA
gender_roles,feminism,1997,163,40.63492063492063,NA
gender_roles,feminism,1998,161,40,NA
gender_roles,feminism,1999,154,37.77777777777778,NA
gender_roles,feminism,2000,170,42.857142857142854,NA
gender_roles,feminism,2001,163,40.63492063492063,NA
gender_roles,feminism,2002,147,35.55555555555556,NA
gender_roles,feminism,2003,106,22.53968253968254,NA
gender_roles,feminism,2004,131,30.476190476190478,66.36528028933091
gender_roles,feminism,2005,171,43.17460317460318,50.81374321880651
gender_roles,feminism,2006,249,67.93650793650794,31.103074141048815
gender_roles,feminism,2007,209,55.23809523809524,20.795660036166357
gender_roles,feminism,2008,216,57.460317460317455,17.902350813743222
gender_roles,feminism,2009,147,35.55555555555556,16.817359855334544
gender_roles,feminism,2010,161,40,11.392405063291138
gender_roles,feminism,2011,139,33.01587301587301,10.849909584086795
gender_roles,feminism,2012,168,42.22222222222222,11.754068716094032
gender_roles,feminism,2013,184,47.3015873015873,29.113924050632907
gender_roles,feminism,2014,223,59.682539682539684,80.47016274864373
gender_roles,feminism,2015,228,61.26984126984127,100
gender_roles,feminism,2016,298,83.4920634920635,89.15009041591321
gender_roles,feminism,2017,344,98.09523809523809,87.70343580470163
gender_roles,feminism,2018,350,100,55.696202531645554
gender_roles,feminism,2019,301,84.44444444444444,28.933092224231455
gender_roles,feminism,2020,254,69.52380952380952,16.99819168173598
gender_roles,feminism,2021,276,76.5079365079365,2.350813743218811
gender_roles,feminism,2022,237,64.12698412698413,14.82820976491862
gender_roles,feminism,2023,278,77.14285714285715,6.509945750452078
