issue,term,year,gtrends_score
abortion,abortion,2004,25.583333333333332
abortion,abortion,2005,20.75
abortion,abortion,2006,19.583333333333332
abortion,abortion,2007,17.25
abortion,abortion,2008,19.416666666666668
abortion,abortion,2009,15.75
abortion,abortion,2010,14.75
abortion,abortion,2011,18
abortion,abortion,2012,18.666666666666668
abortion,abortion,2013,15.833333333333334
abortion,abortion,2014,14
abortion,abortion,2015,13.833333333333334
abortion,abortion,2016,16.416666666666668
abortion,abortion,2017,14.166666666666666
abortion,abortion,2018,13.916666666666666
abortion,abortion,2019,21
abortion,abortion,2020,14.583333333333334
abortion,abortion,2021,14.166666666666666
abortion,abortion,2022,30.583333333333332
abortion,abortion,2023,15.333333333333334
abortion,abortion,2024,20.666666666666668
suicide_permissibility,assisted suicide,2004,52.333333333333336
suicide_permissibility,assisted suicide,2005,57.75
suicide_permissibility,assisted suicide,2006,44.583333333333336
suicide_permissibility,assisted suicide,2007,31.25
suicide_permissibility,assisted suicide,2008,31.833333333333332
suicide_permissibility,assisted suicide,2009,31.75
suicide_permissibility,assisted suicide,2010,27
suicide_permissibility,assisted suicide,2011,23.583333333333332
suicide_permissibility,assisted suicide,2012,21.75
suicide_permissibility,assisted suicide,2013,19.25
suicide_permissibility,assisted suicide,2014,23.333333333333332
suicide_permissibility,assisted suicide,2015,25.416666666666668
suicide_permissibility,assisted suicide,2016,25.583333333333332
suicide_permissibility,assisted suicide,2017,22.416666666666668
suicide_permissibility,assisted suicide,2018,19.833333333333332
suicide_permissibility,assisted suicide,2019,18.916666666666668
suicide_permissibility,assisted suicide,2020,13.416666666666666
suicide_permissibility,assisted suicide,2021,12.5
suicide_permissibility,assisted suicide,2022,19.416666666666668
suicide_permissibility,assisted suicide,2023,19.583333333333332
suicide_permissibility,assisted suicide,2024,18.666666666666668
police_violence,police brutality,2004,7.916666666666667
police_violence,police brutality,2005,6.916666666666667
police_violence,police brutality,2006,5.5
police_violence,police brutality,2007,5.25
police_violence,police brutality,2008,4.583333333333333
police_violence,police brutality,2009,4.583333333333333
police_violence,police brutality,2010,4.083333333333333
police_violence,police brutality,2011,4.666666666666667
police_violence,police brutality,2012,4.166666666666667
police_violence,police brutality,2013,4
police_violence,police brutality,2014,9
police_violence,police brutality,2015,14.5
police_violence,police brutality,2016,11.833333333333334
police_violence,police brutality,2017,8.416666666666666
police_violence,police brutality,2018,8.166666666666666
police_violence,police brutality,2019,7.833333333333333
police_violence,police brutality,2020,20.583333333333332
police_violence,police brutality,2021,5.75
police_violence,police brutality,2022,5.166666666666667
police_violence,police brutality,2023,5.25
police_violence,police brutality,2024,3.8333333333333335
gender_roles,feminism,2004,56.416666666666664
gender_roles,feminism,2005,49.25
gender_roles,feminism,2006,40.166666666666664
gender_roles,feminism,2007,35.416666666666664
gender_roles,feminism,2008,34.083333333333336
gender_roles,feminism,2009,33.583333333333336
gender_roles,feminism,2010,31.083333333333332
gender_roles,feminism,2011,30.833333333333332
gender_roles,feminism,2012,31.25
gender_roles,feminism,2013,39.25
gender_roles,feminism,2014,62.916666666666664
gender_roles,feminism,2015,71.91666666666667
gender_roles,feminism,2016,66.91666666666667
gender_roles,feminism,2017,66.25
gender_roles,feminism,2018,51.5
gender_roles,feminism,2019,39.166666666666664
gender_roles,feminism,2020,33.666666666666664
gender_roles,feminism,2021,26.916666666666668
gender_roles,feminism,2022,32.666666666666664
gender_roles,feminism,2023,28.833333333333332
gender_roles,feminism,2024,25.833333333333332
