issue,year,count
abortion,1972,0
abortion,1973,0
abortion,1974,0
abortion,1975,0
abortion,1976,0
abortion,1977,0
abortion,1978,0
abortion,1979,0
abortion,1980,0
abortion,1981,0
abortion,1982,0
abortion,1983,0
abortion,1984,0
abortion,1985,2
abortion,1986,0
abortion,1987,0
abortion,1988,2
abortion,1989,9
abortion,1990,1
abortion,1991,3
abortion,1992,12
abortion,1993,3
abortion,1994,2
abortion,1995,6
abortion,1996,10
abortion,1997,4
abortion,1998,2
abortion,1999,3
abortion,2000,3
abortion,2001,2
abortion,2002,0
abortion,2003,7
abortion,2004,7
abortion,2005,7
abortion,2006,9
abortion,2007,12
abortion,2008,5
abortion,2009,8
abortion,2010,4
abortion,2011,1
abortion,2012,8
abortion,2013,5
abortion,2014,1
abortion,2015,1
abortion,2016,5
abortion,2017,6
abortion,2018,9
abortion,2019,15
abortion,2020,12
abortion,2021,17
abortion,2022,9
abortion,2023,12
abortion,2024,13
suicide_permissibility,1972,0
suicide_permissibility,1973,0
suicide_permissibility,1974,0
suicide_permissibility,1975,0
suicide_permissibility,1976,0
suicide_permissibility,1977,0
suicide_permissibility,1978,0
suicide_permissibility,1979,0
suicide_permissibility,1980,0
suicide_permissibility,1981,0
suicide_permissibility,1982,0
suicide_permissibility,1983,0
suicide_permissibility,1984,0
suicide_permissibility,1985,0
suicide_permissibility,1986,0
suicide_permissibility,1987,0
suicide_permissibility,1988,0
suicide_permissibility,1989,0
suicide_permissibility,1990,0
suicide_permissibility,1991,0
suicide_permissibility,1992,0
suicide_permissibility,1993,0
suicide_permissibility,1994,0
suicide_permissibility,1995,0
suicide_permissibility,1996,0
suicide_permissibility,1997,0
suicide_permissibility,1998,0
suicide_permissibility,1999,0
suicide_permissibility,2000,0
suicide_permissibility,2001,0
suicide_permissibility,2002,0
suicide_permissibility,2003,0
suicide_permissibility,2004,0
suicide_permissibility,2005,0
suicide_permissibility,2006,0
suicide_permissibility,2007,0
suicide_permissibility,2008,0
suicide_permissibility,2009,0
suicide_permissibility,2010,0
suicide_permissibility,2011,0
suicide_permissibility,2012,0
suicide_permissibility,2013,0
suicide_permissibility,2014,0
suicide_permissibility,2015,0
suicide_permissibility,2016,0
suicide_permissibility,2017,0
suicide_permissibility,2018,0
suicide_permissibility,2019,0
suicide_permissibility,2020,0
suicide_permissibility,2021,0
suicide_permissibility,2022,0
suicide_permissibility,2023,0
suicide_permissibility,2024,0
police_violence,1972,0
police_violence,1973,1
police_violence,1974,0
police_violence,1975,0
police_violence,1976,0
police_violence,1977,0
police_violence,1978,0
police_violence,1979,0
police_violence,1980,0
police_violence,1981,0
police_violence,1982,0
police_violence,1983,2
police_violence,1984,0
police_violence,1985,3
police_violence,1986,0
police_violence,1987,0
police_violence,1988,0
police_violence,1989,0
police_violence,1990,0
police_violence,1991,9
police_violence,1992,2
police_violence,1993,0
police_violence,1994,0
police_violence,1995,3
police_violence,1996,1
police_violence,1997,8
police_violence,1998,2
police_violence,1999,3
police_violence,2000,4
police_violence,2001,2
police_violence,2002,0
police_violence,2003,0
police_violence,2004,0
police_violence,2005,0
police_violence,2006,0
police_violence,2007,0
police_violence,2008,0
police_violence,2009,1
police_violence,2010,1
police_violence,2011,0
police_violence,2012,2
police_violence,2013,0
police_violence,2014,0
police_violence,2015,0
police_violence,2016,0
police_violence,2017,0
police_violence,2018,0
police_violence,2019,0
police_violence,2020,1
police_violence,2021,0
police_violence,2022,0
police_violence,2023,0
police_violence,2024,0
gender_roles,1972,0
gender_roles,1973,0
gender_roles,1974,0
gender_roles,1975,0
gender_roles,1976,0
gender_roles,1977,0
gender_roles,1978,0
gender_roles,1979,0
gender_roles,1980,0
gender_roles,1981,0
gender_roles,1982,0
gender_roles,1983,0
gender_roles,1984,0
gender_roles,1985,0
gender_roles,1986,0
gender_roles,1987,0
gender_roles,1988,0
gender_roles,1989,0
gender_roles,1990,0
gender_roles,1991,0
gender_roles,1992,0
gender_roles,1993,0
gender_roles,1994,0
gender_roles,1995,0
gender_roles,1996,0
gender_roles,1997,0
gender_roles,1998,0
gender_roles,1999,0
gender_roles,2000,0
gender_roles,2001,0
gender_roles,2002,0
gender_roles,2003,0
gender_roles,2004,0
gender_roles,2005,0
gender_roles,2006,0
gender_roles,2007,0
gender_roles,2008,0
gender_roles,2009,0
gender_roles,2010,0
gender_roles,2011,0
gender_roles,2012,0
gender_roles,2013,0
gender_roles,2014,0
gender_roles,2015,0
gender_roles,2016,0
gender_roles,2017,0
gender_roles,2018,0
gender_roles,2019,0
gender_roles,2020,0
gender_roles,2021,0
gender_roles,2022,0
gender_roles,2023,0
gender_roles,2024,0
